Date,Open,High,Low,Close,Volume,Adj Close
2018-10-30,103.660004,104.379997,100.110001,103.730003,65350900,103.730003
2018-10-29,108.110001,108.699997,101.629997,103.849998,55162000,103.849998
2018-10-26,105.690002,108.75,104.760002,106.959999,55523100,106.959999
2018-10-25,106.550003,109.269997,106.150002,108.300003,61646800,108.300003
2018-10-24,108.410004,108.489998,101.589996,102.32,63897800,102.32
2018-10-23,107.769997,108.970001,105.110001,108.099998,43770400,108.099998
2018-10-22,109.32,110.540001,108.239998,109.629997,26545600,109.629997
2018-10-19,108.93,110.860001,108.209999,108.660004,32785500,108.660004
2018-10-18,110.099998,110.529999,107.830002,108.5,32506200,108.5
2018-10-17,111.68,111.809998,109.550003,110.709999,26548200,110.709999
2018-10-16,109.540001,111.410004,108.949997,111,31610200,111
2018-10-15,108.910004,109.480003,106.949997,107.599998,32068100,107.599998
2018-10-12,109.010002,111.239998,107.120003,109.57,47742100,109.57
2018-10-11,105.349998,108.93,104.199997,105.910004,63904300,105.910004
2018-10-10,111.239998,111.5,105.790001,106.160004,61376300,106.160004
2018-10-09,111.139999,113.080002,110.800003,112.260002,26198600,112.260002
2018-10-08,111.660004,112.029999,109.339996,110.849998,29640600,110.849998
2018-10-05,112.629997,113.169998,110.639999,112.129997,29068900,112.129997
2018-10-04,114.610001,114.760002,111.629997,112.790001,34821700,112.790001
2018-10-03,115.419998,116.18,114.93,115.169998,16648000,115.169998
2018-10-02,115.300003,115.839996,114.440002,115.150002,20787200,115.150002
2018-10-01,114.75,115.68,114.730003,115.610001,18883100,115.610001
2018-09-28,114.190002,114.57,113.68,114.370003,21647800,114.370003
2018-09-27,114.779999,114.910004,114.199997,114.410004,19091300,114.410004
2018-09-26,114.470001,115.059998,113.739998,113.980003,19352000,113.980003
2018-09-25,114.800003,115.099998,113.75,114.449997,22668000,114.449997
2018-09-24,113.029999,114.900002,112.220001,114.669998,27334500,114.669998
2018-09-21,114,115.290001,113.510002,114.260002,71229700,114.260002
2018-09-20,112.279999,113.800003,111.93,113.57,23714500,113.57
2018-09-19,113.050003,113.32,111.040001,111.699997,21728400,111.699997
2018-09-18,112.190002,113.699997,111.720001,113.209999,22170900,113.209999
2018-09-17,113.690002,113.699997,111.860001,112.139999,20736500,112.139999
2018-09-14,113.360001,113.730003,112.440002,113.370003,19122300,113.370003
2018-09-13,112.120003,113.730003,112.120003,112.910004,26055600,112.910004
2018-09-12,111.43,111.849998,110.510002,111.709999,18891100,111.709999
2018-09-11,108.900002,111.589996,108.889999,111.239998,24301800,111.239998
2018-09-10,108.839996,109.639999,108.360001,109.379997,20727900,109.379997
2018-09-07,108.230003,108.720001,107.230003,108.209999,22498600,108.209999
2018-09-06,108.25,108.989998,107.510002,108.739998,23477600,108.739998
2018-09-05,111.010002,111.419998,108.099998,108.489998,32872400,108.489998
2018-09-04,110.849998,111.959999,110.220001,111.709999,22634600,111.709999
2018-08-31,111.690002,112.779999,111.519997,112.330002,23222700,112.330002
2018-08-30,111.669998,112.610001,111.440002,111.949997,22798700,111.949997
2018-08-29,110.449997,112.029999,110.269997,112.019997,20818000,112.019997
2018-08-28,109.940002,110.5,109.790001,110.260002,19151500,110.260002
2018-08-27,109.269997,109.639999,108.510002,109.599998,19662300,109.599998
